Name,Description,Category,URL,Small_Image,Large_Image,Tags
Luce,"Als zijn leerkracht een alarmerende ontdekking doet over Luce, worden Amy en Peter geconfronteerd met het duistere verleden van hun zoon, die ze tien jaar geleden adopteerden uit Eritrea.",Films,https://www.npostart.nl/luce/15-10-2021/POW_04670994,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1122000/1122469.jpg?cb=1598530217,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1122000/1122469.jpg?cb=1598530217,"['Drama', 'Mystery']"
Britt-Marie was here,"De 63-jarige Britt-Marie besluit haar man na veertig jaar huwelijk te verlaten. Om een nieuw leven voor zichzelf te kunnen beginnen, zal ze alleen wel haar vastgeroeste patronen moeten doorbreken.",Films,https://www.npostart.nl/britt-marie-was-here/23-10-2021/POW_04719549,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1121000/1121579.jpg?cb=1551523357,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1121000/1121579.jpg?cb=1551523357,"['Drama', 'Komedie']"
La ragazza nella nebbia,In het Italiaanse dorp Avechot is de vijftienjarige Anna Lou spoorloos verdwenen. Is deze verdwijning een opstandige tieneractie of loopt er in het dorp een wolf in schaapskleding rond?,Films,https://www.npostart.nl/la-ragazza-nella-nebbia/29-10-2021/POW_04719528,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1120000/1120081.jpg?cb=1562942717,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1120000/1120081.jpg?cb=1562942717,"['Misdaad', 'Mystery']"
Draak Dries en de vliegende dokters,"Draak Dries, prinses Annelies en ridder Joris zijn een vliegende doktersdienst begonnen. Als de oom van Annelies ernstig ziek wordt, gaan Draak Dries, Annelies en Joris op zoek naar een oplossing.",Films,https://www.npostart.nl/draak-dries-en-de-vliegende-dokters/22-10-2021/POW_04529788,https://images.npo.nl/tile/320x180/1626078.jpg,https://images.npo.nl/tile/320x180/1626078.jpg,"['Animatie', 'Komedie']"
Grâce à Dieu,Alexander ontdekt dat de priester die hem misbruikte nog steeds met kinderen werkt. Hij besluit actie te ondernemen en de gevolgen hiervan zullen niemand ongedeerd laten.,Films,https://www.npostart.nl/grace-a-dieu/06-11-2021/POW_04719552,https://images.npo.nl/tile/320x180/1617156.jpg,https://images.npo.nl/tile/320x180/1617156.jpg,['Drama']
Magic Mike,"Mike, een ervaren stripper, neemt een jonge jongen genaamd The Kid onder zijn hoede en leert hem de fijne kunst van het strippen, feesten, vrouwen versieren en gemakkelijk geld verdienen.",Films,https://www.npostart.nl/magic-mike/12-11-2021/POW_05105032,https://images.npo.nl/tile/320x180/1629495.jpg,https://images.npo.nl/tile/320x180/1629495.jpg,"['Komedie', 'Drama']"
2Doc:,"Met gevaar voor hun leven proberen alleenreizende, minderjarige vluchtelingen dagelijks grenzen in Europa over te steken.",Films,https://www.npostart.nl/2doc/15-11-2021/KN_1727464,https://images.npo.nl/tile/320x180/1636597.jpg,https://images.npo.nl/tile/320x180/1636597.jpg,"['Komedie', 'Romantiek']"
Buiten is het Feest,"Zangeres Sonne neemt haar nichtje in huis na de onverwachte dood van haar zus. Als de biologische vader de voogdij opeist, wordt Sonne gedwongen naar buiten te treden over haar traumatische verleden.",Films,https://www.npostart.nl/buiten-is-het-feest/20-11-2021/VPWON_1303355,https://images.npo.nl/tile/320x180/1635526.jpg,https://images.npo.nl/tile/320x180/1635526.jpg,['Drama']
Zappbios: Bernie de dolfijn,"Holly en Kevin komen achter een geheim plan, dat de leefruimte van een groep dolfijnen zal vernietigen. Ze bedenken daarom een slim plan om de slechteriken tegen te houden en de zee te beschermen.",Films,https://www.npostart.nl/zappbios-bernie-de-dolfijn/13-11-2021/POW_05105031,https://images.npo.nl/tile/320x180/1633578.jpg,https://images.npo.nl/tile/320x180/1633578.jpg,"['Familie', 'Komedie']"
Sorry we missed you,"Ricky gaat aan de slag als franchise-pakketbezorger. Maar door de hoge werkdruk en de vele regels en protocollen, hangt de franchisedeal al snel als een molensteen om de nek van hem en zijn gezin.",Films,https://www.npostart.nl/sorry-we-missed-you/26-11-2021/POW_04670566,https://images.npo.nl/tile/320x180/1631637.jpg,https://images.npo.nl/tile/320x180/1631637.jpg,['Drama']
