,Name,Type,Genres,Description,img_link
47,bloodlands,Series,"['Crime', 'Drama', 'Thriller']",Northern Irish police officer DCI Tom Brannick investigates crimes while trying to hide a dark secret from his past.,"https://m.media-amazon.com/images/M/MV5BOTEwODg2MmItMzg0Zi00ZTg3LWI3NDctMWUyM2NlNmUwMDlhXkEyXkFqcGdeQXVyODQ3ODYzMTE@._V1_QL75_UY281_CR5,0,190,281_.jpg"
48,bloot,Documentary,"['Documentary', 'Drama']","Actors are overly self-conscious, unsure of themselves, affected, vain and always thinking about their image. The are never 'real' . Documentary makers have a swearword: ' Actor!', for in a ... Read all","https://m.media-amazon.com/images/M/MV5BYmMyMWM2YWMtN2Q4MS00MjJiLWFiZGItOGFjOTgzOWQ2NTY3XkEyXkFqcGdeQXVyOTk0MDAwMA@@._V1_QL75_UX190_CR0,41,190,281_.jpg"
49,bob de bouwer,Series,"['Animation', 'Comedy', 'Family']","Bob the Builder and his machine team are ready to tackle any project. Bob and the Can-Do Crew demonstrate the power of positive thinking, problem-solving, teamwork, and follow-through. The t... Read all","https://m.media-amazon.com/images/M/MV5BYjcwNWE3ZWQtMGFkYS00MjVlLTk3ZWUtNzE4ZjgzZGYxZjBkXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
50,boer ayoub,Tv,['Reality-TV'],"23-year-old Ayoub wants nothing more than to run his own farm one day and has therefore been working on various dairy farms since he was 14 in order to gain experience. In the programme, we ... Read all","https://m.media-amazon.com/images/M/MV5BNmRiZWVhYzUtZDMxYi00MDYyLWJjYzktYTE1NWU1NTA5OWY1XkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_QL75_UY281_CR155,0,190,281_.jpg"
51,boer zoekt vrouw internationaal,Tv,['Reality-TV'],This series follows multiple farmers who try to search a wife.,"https://m.media-amazon.com/images/M/MV5BYjhlNWRkNzgtYjAyMy00YmFkLWJkNGMtZjFhMjdmNGI4OTI1XkEyXkFqcGdeQXVyMTU1NTc0MzY@._V1_QL75_UY281_CR4,0,190,281_.jpg"
52,boer zoekt vrouw special,Tv,['Reality-TV'],This series follows multiple farmers who try to search a wife.,"https://m.media-amazon.com/images/M/MV5BYjhlNWRkNzgtYjAyMy00YmFkLWJkNGMtZjFhMjdmNGI4OTI1XkEyXkFqcGdeQXVyMTU1NTc0MzY@._V1_QL75_UY281_CR4,0,190,281_.jpg"
53,box 21,Movie,"['Crime', 'Drama', 'Thriller']","A young Romanian woman named Lidia is lured to Sweden with promises of a better life, but is instead forced into prostitution. In search of revenge, her fate is interwoven with police office... Read all","https://m.media-amazon.com/images/M/MV5BMmVlMzJlNmUtYjcwNC00ZTc3LWJjNmYtYWJjNDViYWE4NTJlXkEyXkFqcGdeQXVyMDIyMzc3Mw@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
54,brainstorm,Movie,"['Sci-Fi', 'Thriller']","Researchers develop a system where they can jump into people's minds. But when people involved bring their personal problems into the equation, it becomes dangerous - perhaps deadly.","https://m.media-amazon.com/images/M/MV5BZTg5OTNlOTEtMjFhZC00NWRiLWJlOWQtZTNiNDk3OGIxYmMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
55,brainwash,Movie,['Thriller'],It follows a woman who investigates a club's mysterious practices after sensing that her daughter is in trouble after joining it.,"https://m.media-amazon.com/images/M/MV5BZWU5ZmUxMGQtM2QwYi00ZGZjLWFmYjYtOGRmOTZiYWVmYmM3XkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_QL75_UX190_CR0,0,190,281_.jpg"
56,broeders,Movie,"['Short', 'Drama']",A modern fable about two young men.,"https://m.media-amazon.com/images/M/MV5BMTFlYTRiNjAtNDE2Ni00NGYyLTg1MTQtNThlNzI2ZWRkNzYzXkEyXkFqcGdeQXVyMTA5MTg3NzY@._V1_QL75_UY281_CR156,0,190,281_.jpg"
57,brugklas,Tv,['Drama'],It's about a group of children who are in the 7th grade. They act out stories that really happened to other children from 7th grade.,"https://m.media-amazon.com/images/M/MV5BYzI1MjIzNWItOTRmNC00NmYzLTk5ZjItMjIzMTg1MTNhYzVmXkEyXkFqcGdeQXVyNTQ2OTQ4ODU@._V1_QL75_UY281_CR155,0,190,281_.jpg"
58,bureau rio,Tv,['Crime'],"After being absent for a year, police detective Peter van Opperdoes goes back to work when he gets involved in a murder case. In order to solve the case, he has to work with his replacement,... Read all","https://m.media-amazon.com/images/M/MV5BZjE0ZjFhNjItZGRmMi00ZmE4LTljZTktYWZjZjI4NzdhN2I5XkEyXkFqcGdeQXVyNTkzODI5NjM@._V1_QL75_UX190_CR0,12,190,281_.jpg"
59,bureau sport,Movie,"['Short', 'Comedy', 'Romance']","A matchmaking bureau, run by fierce dame Denise (Sissy Denkova), focuses on finding the wrong partners for clients, instead of the right. Clients seek short-term affairs that exclude the pro... Read all","https://m.media-amazon.com/images/M/MV5BMTYwMTI2NDU3OF5BMl5BanBnXkFtZTgwODIyNTQwMzE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
60,bushpiloten,Movie,['Comedy'],"Sepp and Willy inherit a secluded mountain farm. When they find an old biplane in the barn, they come up with the idea to open a flight school, but they meet the resistance of the mayor of t... Read all","https://m.media-amazon.com/images/M/MV5BMWFjOGM2ZTItYTFhZS00ZWNlLTkyZGEtZWNkMTlhMmIxM2Q1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5Nzc3NTU@._V1_QL75_UY281_CR4,0,190,281_.jpg"
61,buurman en buurman hebben een nieuw huis,Movie,['Family'],Buurman and Buurman have a new house but everything still goes wrong.,"https://m.media-amazon.com/images/M/MV5BY2E3ODMzYjQtNzQwMi00MzhlLTg2MTYtMzY3ZWJjZTRhNGJjXkEyXkFqcGdeQXVyNDUzMjA5MDI@._V1_QL75_UY281_CR116,0,190,281_.jpg"
62,bztshow,Movie,"['Biography', 'Drama', 'Musical']",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_QL75_UY281_CR1,0,190,281_.jpg"
63,cafe lazarus,Series,"['Action', 'Drama', 'Fantasy']",Is a top secret organization dedicated to preventing mass extinction events and with the ability to make time go backwards.,"https://m.media-amazon.com/images/M/MV5BYzE4ODZhNTMtYTYyYi00N2JmLTllMDUtMjVlNDRiNTRiYWNhXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
64,cannabis,Movie,"['Biography', 'Comedy', 'Crime']",An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed fore... Read all,"https://m.media-amazon.com/images/M/MV5BMTQyODM5MDQyOV5BMl5BanBnXkFtZTgwMDQxODc1MTE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
65,caps club,Series,"['Adventure', 'Family']",Sjoerd van Hulle becomes police chief in a Dutch town and moves there with his family and dog. His visually-impaired son Tom makes friends at his new school. A tree house becomes their HQ an... Read all,"https://m.media-amazon.com/images/M/MV5BNmMxYTliZDAtYmNjMy00NTBjLWE0MWItNTY4NDg5ZWE5MmExXkEyXkFqcGdeQXVyMzkwMDAyMA@@._V1_QL75_UY281_CR10,0,190,281_.jpg"
66,carmen meets carmen,Documentary,['Documentary'],A look at what happened after Borat (2006) was filmed in the Romanian village of Glod. It follows the life of one girl who longs to escape the poverty as foreign lawyers arrive with the prom... Read all,"https://m.media-amazon.com/images/M/MV5BMTQ1MTQyMTEyNl5BMl5BanBnXkFtZTgwNDIwMzA2MDE@._V1_QL75_UY281_CR11,0,190,281_.jpg"
67,catch,Movie,"['Biography', 'Crime', 'Drama']","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX190_CR0,0,190,281_.jpg"
68,charlie en lola,Series,"['Animation', 'Family']",Animation following a boy's efforts to get his stubborn little sister to try new things.,"https://m.media-amazon.com/images/M/MV5BMDY5YWNiZTUtOGE3Ni00YTAzLWIwODYtODUzZTZlMGQzN2FhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg"
69,checkpoint,Series,['Comedy'],"Outside of Army Base Fort Stewart, on Checkpoint Charlie, we witness the classic battle between soldiers who skate and soldiers who actually care, there can only be one victor.","https://m.media-amazon.com/images/M/MV5BOTgyNGRhYjAtYzM2Yy00NDIzLTk2NmUtNzIyNDc2NGY1Mzg3XkEyXkFqcGdeQXVyNzM1NTAxMzQ@._V1_QL75_UY281_CR155,0,190,281_.jpg"
